LATITUDE,LONGITUDE,API,USGSREGION,FORMATION,BASIN,BASINCODE,STATE,STATECODE,COUNTY,COUNTYCODE,FIELD,FIELDCODE,WELLNAME,WELLTYPE,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,ELEVATION,SG,SPGRAV,SPGRAVT,RESIS,RESIST,PH,UNITS,TDSUSGS,TDS,chargebalance,B,Br,HCO3,Ca,Cl,I,K,Li,Mg,Na,SO4,Sr,Count Blank,Count Blank More
32.8787,-103.1286,30025072890000,West Texas and Eastern New Mexico,San Andres,Permian,430,New Mexico,30,Lea,25,Knowles,35-383951,Amerada S. B. #1,Conventional Hydrocarbon,6307,6412,12080,2752,1.037,1.037,69.8,0.172,74,7.28,mg/L,46224,46224,0,9.33,21.78,450.06,2422,26583.5,8.615,170.07,10.37,763.23,13077.06,77.78,101.63,54,68
32.7544,-103.4811,30025201730000,West Texas and Eastern New Mexico,Wolfcamp,Permian,430,New Mexico,30,Lea,25,Vacuum North,35-731829,Gate Lea 4011 #1,Conventional Hydrocarbon,10015,6412,12000,2752,1.063,1.063,60,0.103,76,8.3,mg/L,101057,101057,0,18,10,732,2060,58100,3,576,10,321,36092.01,3050,12,52,67
31.6411,-102.5546,42103053320000,West Texas and Eastern New Mexico,San Andres,Permian,430,Texas,42,Crane,103,Jordan,48-363967,Univ 24#2,Conventional Hydrocarbon,3330,3607,3612,2752,1.058,1.058,60,0.125,74,8.15,mg/L,81773,81773,0.1,16,32,1258,2120,44900,8.615,463,10,1142,26976.85,4790,171,53,68
31.1742,-102.5563,42135051570000,West Texas and Eastern New Mexico,San Andres,Permian,430,Texas,42,Ector,135,Jordan,48-363967,Univ. 78 #4,Conventional Hydrocarbon,3366,3642,3645,2849,1.057,1.057,60,0.12,74,7.92,mg/L,80935,80935,0,8,234.075,1098,1920,43600,8.615,458,10,803,27325.41,5610,155,55,70
33.1485,-101.2538,42169018510000,West Texas and Eastern New Mexico,Pennsylvanian Pennsylvani,Permian,430,Texas,42,Garza,169,,,Stoker #1,Conventional Hydrocarbon,7632,7732,8148,2344,1.073,1.073,60,0.079,77,6.7,mg/L,106125,106125,0,17.17,149.15,353.02,3176,63345.63,7.51,607.32,9.66,782.22,36471.29,1606.28,104.08,53,67
33.0033,-103.075,30025072640000,West Texas and Eastern New Mexico,Devonian,Permian,430,New Mexico,30,Lea,25,Medicine Rock,35-465250,Roberts #1,Conventional Hydrocarbon,12750,6412,12815,2752,1.063,1.063,60.08,0.87,76,7.12,mg/L,91505,91505,0,7.44,234.075,893.98,6723,54638.2,8.615,481.54,9.57,2039.9,24747.7,1886.83,87.17,55,70
32.4103,-101.8641,42317002780000,West Texas and Eastern New Mexico,Dean,Permian,430,Texas,42,Martin,317,,,#1 Lester,Conventional Hydrocarbon,8660,8766,8751,2655,1.059,1.059,60,0.096,67,7.51,mg/L,90540,90540,0,30.71,370.65,406.66,1948,50127.77,45.54,501.97,9.53,1132.07,30842.33,5841.44,124.96,53,67
31.216,-102.8099,42371042260000,West Texas and Eastern New Mexico,Fusselman,Permian,430,Texas,42,Pecos,371,Pecos Valley,48-547421,Realty Truck #1,Conventional Hydrocarbon,5682,5782,8100,2752,1.058,1.058,77,0.096,80,6.1,mg/L,79492,79492,0,12.7,242.28,305.76,2375,46710.7,6.35,409.45,9.52,1132.06,25407.48,201.02,150.24,52,66
31.2524,-101.0939,42235004510000,West Texas and Eastern New Mexico,San Angelo,Permian,430,Texas,42,Irion,235,Mertzon,48-469342,Sammy Suggs #1,Conventional Hydrocarbon,1692,6412,4520,4520,1.056,1.056,60,0.106,69,8.05,mg/L,75411,75411,0,9.5,93.98,250.27,1267,45867.36,6.34,125.66,9.5,769.82,26918.53,195.36,117.22,52,66
30.6446,-101.0167,42105026240000,West Texas and Eastern New Mexico,Ellenburger,Permian,430,Texas,42,Crockett,105,,,M.s. Jones #1,Conventional Hydrocarbon,9138,9221,9221,2752,1.055,1.055,60,0.099,76,6.6,mg/L,79885,79885,0,15.83,34.82,419.89,2616,47694.44,2.11,553.88,9.5,666.76,26964.16,1081.38,71.74,53,67
33.0033,-103.0825,30025072600000,West Texas and Eastern New Mexico,Devonian,Permian,430,New Mexico,30,Lea,25,Medicine Rock,35-465250,C. S. Stone #1,Conventional Hydrocarbon,12740,12752,12848,2752,1.054,1.054,60.08,0.09,76,7.49,mg/L,78690,78690,0,8.43,234.075,354.14,2824,46059.8,8.615,562.84,9.49,639.78,26134.55,2038.44,63.24,55,70
33.5107,-102.3051,42219005240000,West Texas and Eastern New Mexico,Pnl,Permian,430,Texas,42,Hockley,219,,,Halliburton #1,Conventional Hydrocarbon,10210,10260,10770,2752,1.038,1.038,60,0.14,75,7.95,mg/L,50794,50794,0.1,5.19,135.98,468.14,1992,29535.25,5.19,319.7,9.34,555.33,16508.8,1491.61,144.28,53,67
31.1114,-103.4192,42389001100000,West Texas and Eastern New Mexico,Delaware Bell Canyon,Permian,430,Texas,42,Reeves,389,Wildcat,48-768291,H.t. Collier #1,Conventional Hydrocarbon,6307,6412,5365,2830,1.153,1.153,60,0.039,79,6.1,mg/L,269938,269938,0.1,34.59,198.32,161.42,6825,164549.24,14.99,720.63,9.22,1792.92,95198.49,320.53,703.33,52,67
32.8532,-103.8764,30015103760000,West Texas and Eastern New Mexico,Jackson,Permian,430,New Mexico,30,Eddy,15,Jackson Grayburg,35-353006,H. E. Wield #29,Conventional Hydrocarbon,3756,3762,3810,2752,1.14,1.14,60,0.057,76,5.71,mg/L,258806,258806,0,15.83,145.92,514.14,7022,157434,1.14,1167,9.12,4594.2,85824.85,2177.4,19.38,54,69
31.237,-103.0622,42371104790000,West Texas and Eastern New Mexico,Cherry Canyon,Permian,430,Texas,42,Pecos,371,Coyanoso Cherry Canyon,48-167008,#1 A. Calvert,Conventional Hydrocarbon,5850,5860,12963,2752,1.132,1.132,60,1.132,60,7.95,mg/L,186995,186995,0.1,33,748,201,15000,113906,18,575,9,1974,53465.91,1488,385,53,68
33.1122,-103.0581,42501102170000,West Texas and Eastern New Mexico,Devonian,Permian,430,Texas,42,Yoakum,501,Wildcat,48-768291,Vera Van #1,Conventional Hydrocarbon,10850,6412,11995,3779,1.04,1.04,60,0.154,74,7.1,mg/L,55953,55953,-0.1,15.83,234.075,927,2320,31930,8.615,347,9,1775,15948,2550,147,56,71
32.0735,-103.2681,30025208430000,West Texas and Eastern New Mexico,Strawn,Permian,430,New Mexico,30,Lea,25,Wildcat,35-768291,,Conventional Hydrocarbon,13010,13109,13505,2752,1.026,1.026,60,0.179,74,7.75,mg/L,35220,35220,-0.1,15.83,234.075,621,744,20000,8.615,200,9,151,12373,1039,83,56,71
31.2667,-101.0935,42235004340000,West Texas and Eastern New Mexico,Clear Fork,Permian,430,Texas,42,Irion,235,Ketchum Mountain,48-376649,J.r. Scott #1,Conventional Hydrocarbon,4204,4214,4355,2586,1.057,1.057,60,0.102,72,6.64,mg/L,81852,81852,0,15.83,234.075,476,1561,49600,8.615,56,9,559,29278,5,308,56,71
30.8846,-100.6008,42413103090000,West Texas and Eastern New Mexico,Canyon,Permian,430,Texas,42,Schleicher,413,El Dorado,48-216687,Tk Jones,Conventional Hydrocarbon,6770,6778,6888,2445,1.063,1.063,60,1.063,60,5.2,mg/L,85991,85991,0,15.83,234.075,31,3200,51856,8.615,705,9,668,28619.79,825,80,56,71
